simplified,traditional
韧,韌
还,還
冈,岡
卯,卯
园,園
开,開
仅,僅
旧,舊
亚,亞
担,擔
享,享
冒,冒
罔,罔
垭,埡
颃,頏
蹚,蹚
𬇕,澫
𫭟,塸
屃,屭
𬒈,礐
𫖯,頫
亏,虧
么,麼
义,義
飞,飛
艺,藝
币,幣
冗,冗
以,以
叽,嘰
扩,擴
厌,厭
邪,邪
吗,嗎
传,傳
众,眾
关,關
讹,訛
麦,麥
抠,摳
声,聲
芦,蘆
两,兩
呕,嘔
岗,崗
启,啟
识,識
陆,陸
陈,陳
码,碼
软,軟
咒,咒
昏,昏
券,券
学,學
视,視
练,練
贰,貳
栋,棟
柠,檸
是,是
选,選
狭,狹
疮,瘡
亲,親
闺,閨
垦,墾
昼,晝
捏,捏
桌,桌
钾,鉀
倦,倦
恋,戀
斋,齋
崭,嶄
铝,鋁
假,假
趋,趨
期,期
锌,鋅
窗,窗
鲫,鯽
操,操
鳍,鰭
驭,馭
芗,薌
伛,傴
饧,餳
苁,蓯
羌,羌
匦,匭
枧,梘
侃,侃
戗,戧
疠,癘
绌,絀
荜,蓽
垩,堊
剋,剋
哙,噲
咩,咩
咤,吒
峒,峒
钚,鈈
秕,秕
飑,颮
涎,涎
钴,鈷
钺,鉞
铌,鈮
徕,徠
阃,閫
涟,漣
掼,摜
敕,敕
硖,硤
蛊,蠱
铒,鉺
赕,賧
锇,鋨
锕,錒
颌,頜
脔,臠
赓,賡
蓥,鎣
鹌,鵪
锞,錁
筲,筲
鲆,鮃
粳,粳
酽,釅
箓,籙
膑,臏
鲚,鱭
鲞,鯗
鞒,屩
餍,饜
踯,躑
镏,鎦
馔,饌
谵,譫
辚,轔
瘿,癭
缲,繰
镦,鐓
镪,鏹
钆,釓
伣,俔
闫,閆
䜣,訢
呙,咼
𫘜,馼
苧,薴
钖,鍚
狝,獮
峃,嶨
𬯀,隮
迳,逕
𬬱,釿
俫,徠
袆,褘
莶,薟
桠,椏
硁,硜
辁,輇
崄,嶮
𬊈,燖
袯,襏
䓨,罃
铖,鋮
𬤊,諟
龂,齗
敩,學
裣,襝
鲊,鮓
鹖,鶡
锺,鍾
鲙,鱠
鲝,鮺
鹝,鷊
𨱑,鐄
鳑,鰟
鳣,鱣
炖,燉
馀,餘
坤,坤
哲,哲
碗,碗
村,村
